Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Tamil_Nadu,CNR,0.0010009689150805659,9.938414164742109e-4,0.0010081096864962438,Pub,75342000,0.0316222544470126,274.48043997572796
2018,Tamil_Nadu,CNR,3.9157442064187306e-4,3.8711475670940513e-4,3.9604735738366385e-4,Pri,75342000,0.019784364789271657,171.72783050933307
2018,Tamil_Nadu,TestR,9.419845504499482e-4,9.350694167927584e-4,9.489129569164609e-4,Pub,75342000,0.030677307827719526,266.2783250932565
2018,Tamil_Nadu,TestR,3.403148310371373e-4,3.3616044171909425e-4,3.444824931645032e-4,Pri,75342000,0.018444484727227095,160.09770244363975
2018,Tamil_Nadu,TestR,0.010219306628440976,0.010196596851689629,0.010242016405192324,SSM,75342000,0.10057272195021312,872.9689091809503
2018,Tamil_Nadu,TestR,0.0029780069549520853,0.00296570306070983,0.0029903108491943406,NAAT,75342000,0.05448980115148469,472.9702184678485
2018,Tamil_Nadu,TestR,0.013197313583393062,0.013171551060497465,0.013223089379097979,Bac,75342000,0.11411899271188232,990.5502272657703
2018,Tamil_Nadu,CNR,5.956704095988957e-4,5.901621937299249e-4,6.011918982771893e-4,NAAT,75342000,0.0243990898674935,211.78353785808662
2018,Tamil_Nadu,CNR,0.001392543335722439,0.0013841283746117703,0.0014009715696424304,All,75342000,0.0372908052846888,323.6833306348135
2019,Tamil_Nadu,CNR,0.0010921196908646542,0.0010846819472884602,0.0010995706453530616,Pub,75695000,0.03302918354191456,287.3633878026141
2019,Tamil_Nadu,CNR,3.7224387343946097e-4,3.6791069423343684e-4,3.7659026355769867e-4,Pri,75695000,0.019290031309931763,167.82881541731174
2019,Tamil_Nadu,TestR,0.0010916837307616092,0.0010842459871854152,0.0010991346852500165,Pub,75695000,0.033022597677856896,287.306088892854
2019,Tamil_Nadu,TestR,3.508421956536099e-4,3.466279146575071e-4,3.5506968756192613e-4,Pri,75695000,0.01872749597269637,162.9345963379479
2019,Tamil_Nadu,CNR,8.751700904947486e-4,8.685117907391506e-4,8.818416011625602e-4,Bac,75695000,0.029570325798128298,257.2703315234485
2019,Tamil_Nadu,CNR,5.891934738093665e-4,5.837373670651958e-4,5.946627914657507e-4,CDx,75695000,0.024266155955564674,211.12252973157928
2019,Tamil_Nadu,TestR,0.012565625206420503,0.01254053768412709,0.012590725939626131,SSM,75695000,0.11138999178378761,969.1249366086847
2019,Tamil_Nadu,TestR,0.0024154567672897815,0.002404399233767092,0.0024265275117246847,NAAT,75695000,0.04908790417093741,427.0788717738004
2019,Tamil_Nadu,CNR,0.0014643635643041151,0.0014557500495409209,0.001472990289979523,All,75695000,0.038238974929457166,332.69006991600264
