Year,Index,Tag,M
2016,ARTI,All,0.00914356360944464
2018,CNR_ACF,All,3.497376992761064e-5
2019,CNR_ACF,All,4.2288677636299686e-5
2020,CNR_ACF,All,3.787886514577995e-5
2021,CNR_ACF,All,5.2943535066059816e-5
2018,CNR_Pri,All,4.0098554275343467e-4
2019,CNR_Pri,All,4.968429289058506e-4
2020,CNR_Pri,All,3.4775614136907254e-4
2021,CNR_Pri,All,4.945633218096125e-4
2018,CNR_Pub,All,0.0011578796698018053
2019,CNR_Pub,All,0.0012208096628393051
2020,CNR_Pub,All,9.228173575694834e-4
2021,CNR_Pub,All,9.853022102519985e-4
2014,Inc,All,0.00223
2015,Inc,All,0.00217
2016,Inc,All,0.0021100000000000003
2017,Inc,All,0.00204
2018,Inc,All,0.00199
2019,Inc,All,0.00193
2020,Inc,All,0.0018800000000000002
2014,Mor,All,3.7000000000000005e-4
2015,Mor,All,3.6e-4
2016,Mor,All,3.5000000000000005e-4
2017,Mor,All,3.4e-4
2018,Mor,All,3.3000000000000005e-4
2019,Mor,All,3.3000000000000005e-4
2020,Mor,All,3.7000000000000005e-4
2016,ARTI,Rural,0.00792442179485202
2020,Prev,Rural,0.00267206850993116
2020,PrevSym,Rural,0.04481076219932007
2020,PropAsym,Rural,0.5984481368185471
2020,PropExCS,Rural,0.16760108882933253
2016,ARTI,Urban,0.013410559960518804
2020,Prev,Urban,0.00235351192097458
2020,PrevSym,Urban,0.03697704013496908
2020,PropAsym,Urban,0.631150299630622
2020,PropExCS,Urban,0.18787389650091105
