Year,State,Index,M,L,U,Tag,N,Error,Std
2018,West_Bengal,CNR,9.29447438653333e-4,9.233620985077416e-4,9.355431633384217e-4,Pub,96297000,0.030472669166190774,299.03145598063463
2018,West_Bengal,CNR,1.5205042732380032e-4,1.4958929146287008e-4,1.5452194772422816e-4,Pri,96297000,0.012329935441491613,120.99493244612819
2018,West_Bengal,TestR,9.015026428653021e-4,8.955107635751893e-4,9.075049066949126e-4,Pub,96297000,0.030011496727924268,294.5059231196676
2018,West_Bengal,TestR,9.615045120824117e-5,9.419815778269313e-5,9.811312917328681e-5,Pri,96297000,0.00980516222706048,96.21907161770095
2018,West_Bengal,TestR,0.008688235355203173,0.008669709336739462,0.008706771758206382,SSM,96297000,0.09280490246541814,910.7041117738703
2018,West_Bengal,TestR,0.0019723771249363945,0.0019635191127449453,0.0019812455216673417,NAAT,96297000,0.04436763294805598,435.38417348722305
2018,West_Bengal,TestR,0.010660612480139569,0.010640103014631816,0.010681132330186818,Bac,96297000,0.10269841197257074,1007.7901443937005
2018,West_Bengal,CNR,5.885645451052473e-4,5.837253496993676e-4,5.934141250506246e-4,NAAT,96297000,0.024253208795569553,237.99924774519155
2018,West_Bengal,CNR,0.0010814978659771332,0.0010749348370146525,0.0010880712794791114,All,96297000,0.032868346906149995,322.540489558672
2019,West_Bengal,CNR,8.790580562607062e-4,8.731657482508823e-4,8.849606835490062e-4,Pub,96906000,0.029635878815962746,291.7380958332651
2019,West_Bengal,CNR,2.629558541266795e-4,2.597362392421522e-4,2.6618578828968277e-4,Pri,96906000,0.016213781432641183,159.60983478133528
2019,West_Bengal,TestR,9.431923719893505e-4,9.370833591315295e-4,9.493117041256475e-4,Pub,96906000,0.030696950339386672,302.1833735896265
2019,West_Bengal,TestR,1.5921614760695932e-4,1.5670856293727942e-4,1.6173405155511526e-4,Pri,96906000,0.01261708357051266,124.20363704038047
2019,West_Bengal,CNR,7.457226590716778e-4,7.40294718593276e-4,7.511609188285555e-4,Bac,96906000,0.02729773904167568,268.72125027999215
2019,West_Bengal,CNR,3.96291251315708e-4,3.9232864838090523e-4,4.002538542505108e-4,CDx,96906000,0.019903120472926816,195.9280001099274
2019,West_Bengal,TestR,0.012637205126617547,0.01261496708150166,0.01265945349101191,SSM,96906000,0.11170275812711761,1099.6113919110862
2019,West_Bengal,TestR,0.0014185808928239738,0.0014110890966503621,0.0014260830082760613,NAAT,96906000,0.03763732882491116,370.50504598891007
2019,West_Bengal,CNR,0.0011420139103873858,0.0011352960600994777,0.0011487420799537696,All,96906000,0.03377439436342075,332.47799266201855
2020,West_Bengal,CNR,7.326797653718364e-4,7.27316542926289e-4,7.380532425448131e-4,Pub,97516000,0.02705814010114611,267.1996472604777
2020,West_Bengal,CNR,8.169941342959104e-5,7.991509085688503e-5,8.34939907297264e-5,Pri,97516000,0.009038403544622042,89.25440661823485
2020,West_Bengal,TestR,7.042946798474097e-4,6.990340046761557e-4,7.095656097460929e-4,Pub,97516000,0.02652920369802585,261.97639023657854
2020,West_Bengal,TestR,7.645924771319579e-5,7.472619877763648e-5,7.820255137618442e-5,Pri,97516000,0.008743763588789151,86.34483145996089
2020,West_Bengal,CNR,8.143791788014275e-4,8.087185692604291e-4,8.200500430698552e-4,All,97516000,0.028525707096486885,281.6918992046372
2021,West_Bengal,CNR,7.06771974522293e-4,7.015235668789809e-4,7.120305732484076e-4,Pub,98125000,0.026575786872608736,263.2545991051684
2021,West_Bengal,CNR,2.1538853503184715e-4,2.1249426751592356e-4,2.1829299363057325e-4,Pri,98125000,0.014674540633724245,145.36315820493203
2021,West_Bengal,CNR,9.221605095541401e-4,9.161579617834395e-4,9.281732484076433e-4,All,98125000,0.03035309093895972,300.6718418175735
2018,West_Bengal,PrDetPub,0.8594075567718086,0.857295117384416,0.8615199961592012,All,104145,0.34760064461292245,112.17595752322696
2019,West_Bengal,PrDetPub,0.7697437380272527,0.7672588282068891,0.7722196118119059,All,110668,0.420996812096107,140.0521686101663
2020,West_Bengal,PrDetPub,0.8996789019706605,0.897588616760058,0.901769187181263,All,79415,0.30042765405256416,84.66251716078521
2021,West_Bengal,PrDetPub,0.7664305369832131,0.7636677091736934,0.7691823134814946,All,90487,0.42310136960642986,127.27336484567464
2019,West_Bengal,PrevUt,0.001220256119904094,7.800650054171181e-4,0.0016901408450704226,All,23075,0.03491084494689194,5.303117075358072
2019,West_Bengal,PrevAsym,9.151920899280706e-4,5.633802816901409e-4,0.001343445287107259,All,23075,0.030238295477202477,4.593335432551642
2019,West_Bengal,PrevSym,1.74322302843442e-4,4.333694474539545e-5,3.466955579631636e-4,All,23075,0.013201966314840125,2.0054390863078715
2019,West_Bengal,PrevExCS,1.307417271325815e-4,0,3.0335861321776817e-4,All,23075,0.011433487382831533,1.7367990451970727
2019,West_Bengal,PrAsym,0.75,0.5862068965517241,0.896551724137931,All,29,0.43301270189221935,2.331844763272204
2019,West_Bengal,PrSym,0.14285714285714285,0.034482758620689655,0.27586206896551724,All,29,0.3499271061118826,1.8844151368961313
