Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Meghalaya,CNR,0.0013728070175438596,0.0013323934837092732,0.0014135338345864661,Pub,3192000,0.037025969513794534,66.15122341762942
2018,Meghalaya,CNR,1.519423558897243e-4,1.3847117794486214e-4,1.6572681704260652e-4,Pri,3192000,0.01232555351334012,22.0210423903455
2018,Meghalaya,TestR,0.001136278195488722,0.001099624060150376,0.0011732456140350878,Pub,3192000,0.03368956911792104,60.19035403604936
2018,Meghalaya,TestR,1.4786967418546366e-4,1.3471177944862156e-4,1.6134085213032583e-4,Pri,3192000,0.012159268429676184,21.723954647204188
2018,Meghalaya,TestR,0.00769172932330827,0.0075961779448621555,0.007787593984962406,SSM,3192000,0.08736456159865527,156.08700350014453
2018,Meghalaya,TestR,0.002769423558897243,0.002711779448621554,0.0028270676691729323,NAAT,3192000,0.05255239149694967,93.89099155797295
2018,Meghalaya,TestR,0.010461152882205513,0.010349624060150376,0.010572994987468672,Bac,3192000,0.10174338879052848,181.77645937512753
2018,Meghalaya,CNR,7.161654135338346e-4,6.870300751879699e-4,7.456140350877193e-4,NAAT,3192000,0.026751682575761333,47.79500858734792
2018,Meghalaya,CNR,0.001524749373433584,0.0014821428571428572,0.0015676691729323308,All,3192000,0.03901825871027304,69.71068099509213
2019,Meghalaya,CNR,0.0014897642679900743,0.0014478908188585609,0.0015319478908188586,Pub,3224000,0.03856870325038028,69.2520372423862
2019,Meghalaya,CNR,2.2487593052109182e-4,2.087468982630273e-4,2.413151364764268e-4,Pri,3224000,0.014994177581213452,26.922796380583726
2019,Meghalaya,TestR,0.001305210918114144,0.001265818858560794,0.0013449131513647644,Pub,3224000,0.03610411808330706,64.82675121010288
2019,Meghalaya,TestR,1.8827543424317618e-4,1.7338709677419356e-4,2.0347394540942929e-4,Pri,3224000,0.013720057820724984,24.635050574565796
2019,Meghalaya,CNR,9.658808933002481e-4,9.320719602977668e-4,0.001,Bac,3224000,0.03106361162840222,55.77626956778539
2019,Meghalaya,CNR,7.487593052109182e-4,7.189826302729528e-4,7.788461538461538e-4,CDx,3224000,0.027353220371900966,49.1140763431139
2019,Meghalaya,TestR,0.007939205955334988,0.007842431761786601,0.008036290322580646,SSM,3224000,0.08874781667248925,159.35114710715843
2019,Meghalaya,TestR,0.0028383995037220846,0.002780397022332506,0.002896712158808933,NAAT,3224000,0.053200967960924876,95.5250009481363
2019,Meghalaya,CNR,0.0017146401985111662,0.001669665012406948,0.001759925558312655,All,3224000,0.04137269881819188,74.28675163838186
2020,Meghalaya,CNR,0.0011446560196560196,0.0011081081081081082,0.0011815110565110566,Pub,3256000,0.033813396490927745,61.01421036950935
2020,Meghalaya,CNR,1.296068796068796e-4,1.1732186732186732e-4,1.421990171990172e-4,Pri,3256000,0.011383763949750459,20.541307307394188
2020,Meghalaya,TestR,0.0010823095823095823,0.0010466830466830466,0.0011182432432432431,Pub,3256000,0.03288066587339166,59.33115489379877
2020,Meghalaya,TestR,1.253071253071253e-4,1.1332923832923833e-4,1.375921375921376e-4,Pri,3256000,0.0111933651522441,20.19774429714553
2020,Meghalaya,CNR,0.0012742628992628994,0.0012355651105651106,0.0013132678132678132,All,3256000,0.03567406835961468,64.37167920157869
2021,Meghalaya,CNR,9.978710462287105e-4,9.638077858880778e-4,0.0010322384428223844,Pub,3288000,0.03157333209535872,57.25142779963941
2021,Meghalaya,CNR,2.6490267639902676e-4,2.475669099756691e-4,2.825425790754258e-4,Pri,3288000,0.01627367515256045,29.50879987001939
2021,Meghalaya,CNR,0.0012627737226277372,0.0012244525547445255,0.0013013990267639903,All,3288000,0.03551308385867353,64.39531786942005
2018,Meghalaya,PrDetPub,0.9003492911444422,0.8919252106020136,0.9087733716868708,All,4867,0.2995337127605884,20.896636241391924
2019,Meghalaya,PrDetPub,0.868849493487699,0.8598046309696092,0.877713458755427,All,5528,0.3375648843613149,25.098125084925798
2020,Meghalaya,PrDetPub,0.8982887442757291,0.8888888888888888,0.9074475777295734,All,4149,0.30226821894347883,19.469921676379634
2021,Meghalaya,PrDetPub,0.7902215799614644,0.7776974951830443,0.802504816955684,All,4152,0.4071503831812901,26.235148106051078
2019,Meghalaya,PrevUt,0.0015573518254363352,0.0010532582314420479,0.0021065164628840958,All,21837,0.03943255610188293,5.827085854838635
2019,Meghalaya,PrevAsym,9.344110952618012e-4,5.49526033795851e-4,0.0013738150844896278,All,21837,0.03055385362220047,4.515049133328514
2019,Meghalaya,PrevSym,3.11470365087267e-4,9.158767229930851e-5,5.49526033795851e-4,All,21837,0.01764577431848598,2.6075773952684393
2019,Meghalaya,PrevExCS,3.11470365087267e-4,9.158767229930851e-5,5.49526033795851e-4,All,21837,0.01764577431848598,2.6075773952684393
2019,Meghalaya,PrAsym,0.6,0.42857142857142855,0.7714285714285715,All,35,0.48989794855663565,2.898275349237888
2019,Meghalaya,PrSym,0.2,0.08571428571428572,0.34285714285714286,All,35,0.39999999999999997,2.3664319132398464
2019,Meghalaya,PrExCS,0.2,0.08571428571428572,0.34285714285714286,All,35,0.39999999999999997,2.3664319132398464
2019,Meghalaya,TBLikeUt,0.026165884194053208,0.023724569640062598,0.0286697965571205,All,15975,0.1596284144455385,20.17579392259164
2019,Meghalaya,PrCSIPub,0.8562091503267973,0.8515363832028209,0.8608325319412007,All,21837,0.3508775302344981,51.850392044773585
2019,Meghalaya,PrTxiPub,1,1,1,All,10,0,0
2019,Meghalaya,PrPastPub,1,1,1,All,12,0,0
2018,Meghalaya,TxI,0.827704244637152,0.8165221360109539,0.83888635326335,Pub,4382,0.3776372969487967,24.998334038512443
2018,Meghalaya,TxI,0.9731958762886598,0.9587628865979382,0.9855670103092784,Pri,485,0.16151056517580328,3.5569012344669604
2019,Meghalaya,TxI,0.8761190922340204,0.8667499479491985,0.885280033312513,Pub,4803,0.32944563809080313,22.831794933365227
2019,Meghalaya,TxI,0.8372413793103448,0.8096551724137931,0.863448275862069,Pri,725,0.3691452994159023,9.939541375668231
2020,Meghalaya,TxI,0.9455325999463375,0.9380198551113497,0.9527770324657902,Pub,3727,0.22693766189210804,13.854353748519145
2020,Meghalaya,TxI,0.966824644549763,0.9478672985781991,0.9834123222748815,Pri,422,0.1790942523951771,3.679068499456987
2018,Meghalaya,TxSucc,0.6788866259334692,0.6619144602851323,0.6955193482688391,Pub,2946,0.46690424613847653,25.342193041113504
2018,Meghalaya,TxSucc,0,0,0,Pri,607,0,0
2018,Meghalaya,TxDie,0.031907671418873046,0.025797691785471828,0.038357094365241005,Pub,2946,0.17575429418224262,9.539427597430882
2018,Meghalaya,TxDie,0,0,0,Pri,607,0,0
2019,Meghalaya,TxSucc,0.7917925478348439,0.7792044310171199,0.804380664652568,Pub,3972,0.4060259955077388,25.58930317651139
2019,Meghalaya,TxSucc,0.4804928131416838,0.4353182751540041,0.5256673511293635,Pri,487,0.4996193247472267,11.025637474760632
2019,Meghalaya,TxDie,0.03575025176233636,0.030211480362537766,0.04154078549848943,Pub,3972,0.18566682865085493,11.701430008753128
2019,Meghalaya,TxDie,0.006160164271047228,0,0.014373716632443531,Pri,487,0.07824459500311151,1.7267077075135961
2020,Meghalaya,TxSucc,0.7911757911757912,0.7789327789327789,0.8031878031878031,Pub,4329,0.4064685210851538,26.743651867740788
2020,Meghalaya,TxSucc,0.8359621451104101,0.805993690851735,0.8643533123028391,Pri,634,0.37030992027329185,9.324165543976719
2020,Meghalaya,TxDie,0.04227304227304227,0.036267036267036264,0.04827904827904828,Pub,4329,0.20121141162971812,13.238732313330958
2020,Meghalaya,TxDie,0.00473186119873817,0,0.011041009463722398,Pri,634,0.06862558333693089,1.72794803637256
2021,Meghalaya,TxSucc,0.8026658939437844,0.7893364242248624,0.8159953636627064,Pub,3451,0.39798662872414425,23.37980910477494
2021,Meghalaya,TxSucc,0.8208232445520581,0.7820823244552058,0.8571428571428571,Pri,413,0.3835002552216756,7.7936461362350995
2021,Meghalaya,TxDie,0.05157925239061142,0.04433497536945813,0.059113300492610835,Pub,3451,0.22117602291712596,12.993032481852385
2021,Meghalaya,TxDie,0.01694915254237288,0.004842615012106538,0.031476997578692496,Pri,413,0.1290809000993883,2.6232338691400336
2018,Meghalaya,DrugTime,6.4e-4,6.316285714285714e-4,6.484e-4,All,35000000,4.27842565597669e-6,0.02531150752681841
2019,Meghalaya,DrugTime,4.870000000000001e-4,4.797653757225434e-4,4.942627745664741e-4,All,35523613.96303901,3.6983160316149697e-6,0.02204258839458494
