Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Rajasthan,CNR,0.0014945971464540495,0.0014859289760805706,0.0015032784305497272,Pub,76256000,0.03863111861988805,337.3450129674727
2018,Rajasthan,CNR,6.058015107007973e-4,6.002806336550566e-4,6.113355014687369e-4,Pri,76256000,0.024605578945239837,214.86743446462907
2018,Rajasthan,TestR,0.0012792042593369702,0.001271191775073437,0.0012872298573227024,Pub,76256000,0.03574308178934582,312.12532332720855
2018,Rajasthan,TestR,5.393673940411246e-4,5.341612463281578e-4,5.445866554762904e-4,Pri,76256000,0.02321802051974651,202.75062470701067
2018,Rajasthan,TestR,0.006070892782207302,0.006053464645404951,0.006088334032731851,SSM,76256000,0.0776790643805282,678.3299556658392
2018,Rajasthan,TestR,0.0017072099244649602,0.0016979516365925305,0.0017164813260595888,NAAT,76256000,0.04128311227050074,360.50346305685264
2018,Rajasthan,TestR,0.007778102706672262,0.007758392782207302,0.007797825744859421,Bac,76256000,0.08784989371056018,767.1463988548077
2018,Rajasthan,CNR,7.313916281997483e-4,7.253330885438523e-4,7.37463281577843e-4,NAAT,76256000,0.027034361366341682,236.07669960146515
2018,Rajasthan,CNR,0.002100398657154847,0.002090130612673101,0.0021106798153587916,All,76256000,0.04578195040226956,399.7894237569084
2019,Rajasthan,CNR,0.0015900289915096292,0.0015811503416856493,0.0015989205839718368,Pub,77264000,0.03984345365697844,350.22373100396135
2019,Rajasthan,CNR,6.777541934147856e-4,6.719558914889211e-4,6.835654379788776e-4,Pri,77264000,0.026024888907891508,228.7586254634077
2019,Rajasthan,TestR,0.001409090909090909,0.001400729964796024,0.0014174647960240214,Pub,77264000,0.03751140322489718,329.7250209713322
2019,Rajasthan,TestR,6.481543797887761e-4,6.424855042451854e-4,6.538361979705943e-4,Pri,77264000,0.02545062426913605,223.71084255532756
2019,Rajasthan,CNR,0.0011476755021743632,0.0011401299440878029,0.001155234002899151,Bac,77264000,0.03385791403964621,297.6108718150602
2019,Rajasthan,CNR,0.0011201076827500518,0.001112652723131083,0.001127575585007248,CDx,77264000,0.03344926070228005,294.01881130414785
2019,Rajasthan,TestR,0.007490590702008698,0.007471370884241044,0.0075098234624145785,SSM,77264000,0.0862234408553943,757.9035546554985
2019,Rajasthan,TestR,9.787223027541935e-4,9.71759163387865e-4,9.856983847587493e-4,NAAT,77264000,0.031269224573185136,274.85630613006816
2019,Rajasthan,CNR,0.002267783184924415,0.002257183164216194,0.0022783961482708637,All,77264000,0.047567219220284354,418.1155863704484
2020,Rajasthan,CNR,0.0012429573416120501,0.001235164105119262,0.0012507633539023673,Pub,78273000,0.03523368272915823,311.7195417041328
2020,Rajasthan,CNR,5.145707970820078e-4,5.095499086530476e-4,5.196044613084972e-4,Pri,78273000,0.022678315942256343,200.6396636560327
2020,Rajasthan,TestR,0.0011309135972813102,0.0011234780831193387,0.001138361887240811,Pub,78273000,0.03361003766312669,297.3548242897173
2020,Rajasthan,TestR,4.966591289461245e-4,4.917276710998685e-4,5.016033625899097e-4,Pri,78273000,0.022280315497222182,197.11847294549088
2020,Rajasthan,CNR,0.001757528138694058,0.0017482529096878874,0.0017668161434977578,All,78273000,0.04188602670982002,370.5741789797884
2021,Rajasthan,CNR,0.001299315094411019,0.001291393902700521,0.0013072488994841135,Pub,79281000,0.03602258839528962,320.74469013969605
2021,Rajasthan,CNR,5.829139390270052e-4,5.776037133739483e-4,5.882367780426584e-4,Pri,79281000,0.02413657287948505,214.91175215706983
2021,Rajasthan,CNR,0.0018822290334380243,0.0018726933313151953,0.0018917773489234495,All,79281000,0.04334381440648373,385.93279774137517
