State,StateGroup,Region,AmpAll,P1,P0,N_Asym,N_ExCS,N_NonTB,N_OnATT_Pri,N_OnATT_Pub,N_Sym,N_TBLikeATT_Pri,N_TBLikeATT_Pub,N_TBLikeUt,Pop,N,Pr_Pub_CSI,Pr_Pub_TB
India,India,India,1.026315789,312,304,674.0836206538347,194.6064838329686,391404.02570914355,45.25387680785823,164.41537126652037,231.03289532504067,193.28212985328994,361.1224049410442,17610.177508175853,1347720000,410878,0.4828184936896595,0.6140034463806118
NA,Central,Central,0.9143756606543066,366.90728241563056,401.26536412078156,74.92005513060585,4.931002082073781,26484.230509977377,1.1711780406566477,14.793006246221344,13.375538286117505,3.051090061365215,22.805234167949997,598.722386007634,112600000,27218,0.49771765964848397,0.5823273610113895
NA,Eastern,Eastern,0.8669563432834924,235.80322886368836,271.98973822673946,100.32972967871291,17.150371280246695,62199.84126982143,8.651829815016901,20.274359760994734,30.30253440779262,57.74923407500657,77.3908192208633,2493.3098519399323,305990000,65005,0.51513909312139206,0.5936596119750769
NA,Northeastern,Northeastern,0.9716312056737588,274,282,105,35,77465,0,49.99999999999999,35,10,85,2089.9999999999995,44980000,79875,0.8562091503267973,1
NA,Northern,Northern,0.9686024025758798,433.5170325871892,447.5696440916351,230.50132837850316,83.17566211225862,99510.52051442573,20.36549594329305,63.611338392970495,75.01657702963867,64.34434483440154,96.38509750006757,5438.079641383119,419490000,105582,0.43018246575857244,0.5859778543269146
NA,Southern,Southern,1.0823755058947742,282.88907284768214,261.359455481972,89.37249748848049,41.54934527288303,75193.26078367319,3.178935434440236,15.930161433093101,58.60449696619292,9.88050433719987,50.426996093116806,4357.796279301397,271800000,79820,0.5535060555583161,0.6225903945581251
NA,Western,Western,1.153402517989746,176.90811987970548,153.37934252825883,41.40007596743395,12.604239031408175,51606.134851906085,3.079618688312711,13.154504797250192,11.768208987408826,15.112329163406217,34.1403070591245,1640.605864399569,192860000,53378,0.3733739095635466,0.6426633821862725
