State_Pop,State
Andaman & Nicobar Islands,None
Andhra Pradesh,Andhra Pradesh
Arunachal Pradesh,Arunachal Pradesh
Assam,Assam
Bihar,Bihar
Chandigarh,Chandigarh
Chhattisgarh,Chhattisgarh
Dadra And Nagar Haveli And Daman And Diu,UT
Delhi,Delhi
Goa,None
Gujarat,Gujarat
Haryana,Haryana
Himachal Pradesh,Himachal Pradesh
Jammu & Kashmir,Jammu & Kashmir
Jharkhand,Jharkhand
Karnataka,Karnataka
Kerala,Kerala
Ladakh,UT
Lakshadweep,UT
Madhya Pradesh,Madhya Pradesh
Maharashtra,Maharashtra
Manipur,Manipur
Meghalaya,Meghalaya
Mizoram,None
Nagaland,Nagaland
Odisha,Odisha
Puducherry,UT
Punjab,Punjab
Rajasthan,Rajasthan
Sikkim,None
Tamil Nadu,Tamil Nadu
Telangana,Telangana
Tripura,None
Uttar Pradesh,Uttar Pradesh
Uttarakhand,Uttarakhand
West Bengal,West Bengal
India,India
