Year,Index,Tag,M
2016,ARTI,All,0.00914356360944464
2014,Inc,All,0.00223
2015,Inc,All,0.00217
2016,Inc,All,0.0021100000000000003
2017,Inc,All,0.00204
2018,Inc,All,0.00199
2019,Inc,All,0.00193
2020,Inc,All,0.0018800000000000002
2014,Mor,All,3.7000000000000005e-4
2015,Mor,All,3.6e-4
2016,Mor,All,3.5000000000000005e-4
2017,Mor,All,3.4e-4
2018,Mor,All,3.3000000000000005e-4
2019,Mor,All,3.3000000000000005e-4
2020,Mor,All,3.7000000000000005e-4
2019,Prev,All,0.0022665938210484414
2018,PrMDR,All,0.030569229898715553
2019,PrMDR,All,0.030640658218036805
